CONVERSATION ID,CONVERSATION TITLE,FROM,SENDER PROFILE URL,TO,DATE,SUBJECT,CONTENT,FOLDER
2-NzkzMmIzMzgtNTNiYS00ZDI3LThhMDMtNmE3NjRhOTdmN2U5XzAxMg==,,Roisin McCarthy,https://www.linkedin.com/in/roisinmccarthy,Soundarya Vadlamani,2022-12-21 13:18:25 UTC,,"Hi Soundarya,  Just wanted to make you aware that the registration for Women in Data's flagship event is now open. Would love for you to be part of the day and experience this game changing event.    Follow the link to register.    https://womenindata.swoogo.com/Registration    Kindest regards    Roisin",INBOX
2-ZmZmNWI5MjAtNDg1OC00YjZhLWE0YzItNDNiOTAyZTU2YTEwXzAxMg==,Senior Analyst role - Media and Tech space!,Soundarya Vadlamani,https://www.linkedin.com/in/soundarya-vadlamani-333404164,Jordan Matthews,2022-12-20 15:33:25 UTC,Senior Analyst role - Media and Tech space!,,INBOX
2-ZmZmNWI5MjAtNDg1OC00YjZhLWE0YzItNDNiOTAyZTU2YTEwXzAxMg==,Senior Analyst role - Media and Tech space!,Jordan Matthews,https://www.linkedin.com/in/jordan-matthews-232551196,Soundarya Vadlamani,2022-12-20 14:59:58 UTC,Senior Analyst role - Media and Tech space!,"Hi Soundarya, that would be great. Could you please send across your latest CV or contact details?  Thanks, Jordan",INBOX
2-ZmZmNWI5MjAtNDg1OC00YjZhLWE0YzItNDNiOTAyZTU2YTEwXzAxMg==,Senior Analyst role - Media and Tech space!,Soundarya Vadlamani,https://www.linkedin.com/in/soundarya-vadlamani-333404164,Jordan Matthews,2022-12-20 12:51:46 UTC,Senior Analyst role - Media and Tech space!,"Hi Jordan, Let's connect tomorrow at 14:00. Please let me know if that works for you. Thank you",INBOX
2-ZmZmNWI5MjAtNDg1OC00YjZhLWE0YzItNDNiOTAyZTU2YTEwXzAxMg==,Senior Analyst role - Media and Tech space!,Jordan Matthews,https://www.linkedin.com/in/jordan-matthews-232551196,Soundarya Vadlamani,2022-12-20 09:14:41 UTC,Senior Analyst role - Media and Tech space!,"Hi Soundarya, thank you for getting back to me. That's great to her, I am free from 1-5pm today and tomorrow, when would work best for you?  Many thanks, Jordan",INBOX
2-ZmZmNWI5MjAtNDg1OC00YjZhLWE0YzItNDNiOTAyZTU2YTEwXzAxMg==,Senior Analyst role - Media and Tech space!,Soundarya Vadlamani,https://www.linkedin.com/in/soundarya-vadlamani-333404164,Jordan Matthews,2022-12-19 19:15:34 UTC,Senior Analyst role - Media and Tech space!,"Hi Jordan, Thanks for your email.  I have looked at the JD, and it perfectly aligns with my experience and the career I am looking for. Kindly, let me know when would be the best time to speak with you. Thanks ",INBOX
2-ZmZmNWI5MjAtNDg1OC00YjZhLWE0YzItNDNiOTAyZTU2YTEwXzAxMg==,Senior Analyst role - Media and Tech space!,Jordan Matthews,https://www.linkedin.com/in/jordan-matthews-232551196,Soundarya Vadlamani,2022-12-19 17:19:22 UTC,Senior Analyst role - Media and Tech space!,"Hi Soundarya,   How are you?   I wanted to reached out as your data  & analytics experience is absolutely excellent for a Senior Analyst  role I am working on.   My client, The Independent, one of UK's leading and most respected publisher's are looking to grow out their team.  You will take a proactive approach by providing insight and recommendations from their data and BI tools to stakeholders across the business.   Exciting bits:   -Become a senior member of the team and recieve bespoke industry leading training -Work with Marketing, Product, Editorial/Content & cross-functional data & analytics teams -Plenty of data! Over 110 unique monthly visitors to their digital platforms  Websites: https://www.standard.co.uk/  https://www.independent.co.uk/  Please find a JD attached, it would be great to get your thoughts  and do let me know if you would like to chat more/have any questions.   I look forward to hearing from you.    Many thanks. Jordan  Jordan Matthews Senior Consultant- Data & Analytics at Sphere Digital Recruitment",INBOX
2-NzgwMGMyZmItOTUxNi00NTk0LTg2NTMtMDFjYTkxOGVmMGJlXzAxMA==,,Saiteja Pagadala,https://www.linkedin.com/in/saiteja-pagadala-38308a15b,Soundarya Vadlamani,2022-12-20 13:26:10 UTC,,Ippudey chusa adhi😅.. screen shot thisi petkunna,INBOX
2-NzgwMGMyZmItOTUxNi00NTk0LTg2NTMtMDFjYTkxOGVmMGJlXzAxMA==,,Soundarya Vadlamani,https://www.linkedin.com/in/soundarya-vadlamani-333404164,Saiteja Pagadala,2022-12-20 13:24:47 UTC,,,INBOX
2-NzgwMGMyZmItOTUxNi00NTk0LTg2NTMtMDFjYTkxOGVmMGJlXzAxMA==,,Saiteja Pagadala,https://www.linkedin.com/in/saiteja-pagadala-38308a15b,Soundarya Vadlamani,2022-12-14 15:27:52 UTC,,,INBOX
